000000;1.207760;1.207830;1.207760;1.207830;0
000100;1.207830;1.207910;1.207830;1.207890;0
000200;1.207890;1.208020;1.207880;1.207980;0
000300;1.207980;1.208020;1.207930;1.207930;0
000400;1.207930;1.207980;1.207930;1.207960;0
000500;1.207940;1.207940;1.207850;1.207850;0
000600;1.207860;1.207960;1.207860;1.207930;0
000700;1.207930;1.207970;1.207920;1.207950;0
000800;1.207950;1.207980;1.207900;1.207980;0
000900;1.207970;1.208010;1.207970;1.207980;0
001000;1.208000;1.208140;1.208000;1.208130;0
001100;1.208140;1.208220;1.208130;1.208210;0
001200;1.208200;1.208260;1.208090;1.208180;0
001300;1.208170;1.208170;1.208090;1.208110;0
001400;1.208110;1.208290;1.208090;1.208180;0
001500;1.208190;1.208270;1.208150;1.208270;0
001600;1.208260;1.208270;1.208120;1.208150;0
001700;1.208160;1.208180;1.208140;1.208140;0
001800;1.208130;1.208130;1.207990;1.208020;0
001900;1.208010;1.208010;1.207970;1.207970;0
002000;1.207970;1.207970;1.207950;1.207970;0
002100;1.208010;1.208010;1.208000;1.208010;0
002200;1.208010;1.208020;1.207960;1.207960;0
002300;1.207980;1.207980;1.207850;1.207850;0
002400;1.207870;1.207910;1.207850;1.207870;0
002500;1.207870;1.207910;1.207860;1.207860;0
002600;1.207870;1.207880;1.207830;1.207860;0
002700;1.207860;1.207860;1.207780;1.207810;0
002800;1.207810;1.207820;1.207770;1.207770;0
002900;1.207780;1.207870;1.207780;1.207870;0
003000;1.207860;1.208200;1.207830;1.208170;0
003100;1.208160;1.208220;1.208090;1.208090;0
003200;1.208110;1.208120;1.208030;1.208110;0
003300;1.208100;1.208100;1.208000;1.208000;0
003400;1.208010;1.208110;1.208000;1.208040;0
003500;1.208030;1.208040;1.207990;1.208010;0
003600;1.208010;1.208060;1.208000;1.208020;0
003700;1.208030;1.208070;1.208020;1.208030;0
003800;1.208040;1.208110;1.208040;1.208110;0
003900;1.208100;1.208120;1.208080;1.208110;0
004000;1.208120;1.208160;1.208110;1.208140;0
004100;1.208150;1.208230;1.208120;1.208190;0
004200;1.208190;1.208260;1.208110;1.208180;0
004300;1.208190;1.208230;1.208170;1.208190;0
004400;1.208190;1.208200;1.208170;1.208180;0
004500;1.208180;1.208210;1.208160;1.208210;0
004600;1.208220;1.208280;1.208220;1.208260;0
004700;1.208270;1.208280;1.208210;1.208270;0
004800;1.208270;1.208300;1.208230;1.208270;0
